Wavelength nm.,S3
400,0.209333333
401,0.214333333
402,0.220333333
403,0.226
404,0.232
405,0.238
406,0.243333333
407,0.249666667
408,0.255333333
409,0.261333333
410,0.267333333
411,0.273333333
412,0.278666667
413,0.284333333
414,0.289333333
415,0.295
416,0.300333333
417,0.305333333
418,0.310333333
419,0.315333333
420,0.319333333
421,0.324333333
422,0.329
423,0.333333333
424,0.337333333
425,0.342333333
426,0.346333333
427,0.350333333
428,0.355
429,0.359333333
430,0.363333333
431,0.367
432,0.371
433,0.374333333
434,0.378333333
435,0.382333333
436,0.385333333
437,0.388333333
438,0.392
439,0.395333333
440,0.398333333
441,0.401
442,0.403666667
443,0.406333333
444,0.409333333
445,0.412
446,0.414333333
447,0.417
448,0.419333333
449,0.422333333
450,0.425333333
451,0.427666667
452,0.430333333
453,0.434
454,0.437333333
455,0.440333333
456,0.444
457,0.447333333
458,0.451333333
459,0.455333333
460,0.459666667
461,0.464333333
462,0.468333333
463,0.473333333
464,0.478
465,0.482333333
466,0.487333333
467,0.492
468,0.496333333
469,0.500333333
470,0.504333333
471,0.508333333
472,0.512333333
473,0.515333333
474,0.518333333
475,0.520666667
476,0.523333333
477,0.525333333
478,0.527333333
479,0.528333333
480,0.530333333
481,0.531333333
482,0.532333333
483,0.532333333
484,0.533333333
485,0.534333333
486,0.534333333
487,0.535333333
488,0.536333333
489,0.537333333
490,0.538333333
491,0.539333333
492,0.540333333
493,0.541333333
494,0.543333333
495,0.545333333
496,0.547333333
497,0.549333333
498,0.551333333
499,0.554333333
500,0.556333333
501,0.559333333
502,0.562333333
503,0.564333333
504,0.567333333
505,0.570333333
506,0.572333333
507,0.575
508,0.577
509,0.578333333
510,0.579333333
511,0.580333333
512,0.58
513,0.579333333
514,0.577333333
515,0.575333333
516,0.572333333
517,0.568333333
518,0.563333333
519,0.557333333
520,0.551333333
521,0.544333333
522,0.536333333
523,0.527333333
524,0.517333333
525,0.507333333
526,0.496666667
527,0.484666667
528,0.473
529,0.46
530,0.446666667
531,0.433333333
532,0.419333333
533,0.405333333
534,0.390333333
535,0.375666667
536,0.360666667
537,0.346
538,0.330666667
539,0.316
540,0.301333333
541,0.287
542,0.273333333
543,0.259333333
544,0.245666667
545,0.233
546,0.220666667
547,0.208666667
548,0.197333333
549,0.186666667
550,0.176333333
551,0.166333333
552,0.157333333
553,0.148333333
554,0.140333333
555,0.132333333
556,0.125
557,0.118333333
558,0.111333333
559,0.105333333
560,0.100333333
561,0.094333333
562,0.089333333
563,0.084333333
564,0.080333333
565,0.076333333
566,0.072333333
567,0.068333333
568,0.065333333
569,0.062333333
570,0.059333333
571,0.056333333
572,0.053333333
573,0.051
574,0.048333333
575,0.046333333
576,0.044333333
577,0.042333333
578,0.040333333
579,0.038333333
580,0.036333333
581,0.034333333
582,0.033
583,0.031333333
584,0.03
585,0.028333333
586,0.027333333
587,0.025666667
588,0.024333333
589,0.023333333
590,0.022333333
591,0.021333333
592,0.020333333
593,0.019
594,0.018333333
595,0.017333333
596,0.016333333
597,0.015333333
598,0.014333333
599,0.014
600,0.013333333
601,0.012333333
602,0.011666667
603,0.011333333
604,0.010333333
605,0.01
606,0.009333333
607,0.008666667
608,0.008333333
609,0.008
610,0.007333333
611,0.007
612,0.006333333
613,0.006
614,0.005666667
615,0.005333333
616,0.005
617,0.004666667
618,0.004333333
619,0.004
620,0.004
621,0.003666667
622,0.003333333
623,0.003
624,0.003
625,0.003
626,0.002666667
627,0.002333333
628,0.002333333
629,0.002
630,0.002
631,0.002
632,0.002
633,0.001666667
634,0.001666667
635,0.001333333
636,0.001333333
637,0.001
638,0.001
639,0.001
640,0.001
641,0.001
642,0.001
643,0.001
644,0.001
645,0.001
646,0.001
647,0.001
648,0.000666667
649,0.000666667
650,0.000666667
651,0.000666667
652,0.000666667
653,0.000666667
654,0.000666667
655,0.000333333
656,0.000333333
657,0.000333333
658,0.000333333
659,0.000333333
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
