wavelength,ethyl_red,procaine,malvidine,caffeine,allura_red
190,0.905792773,1.507489542,1.193739719,0.902915957,0.002171722
191,0.893438326,1.549119482,1.23648751,1.006961769,0.001483692
192,0.882660969,1.595978306,1.283724617,1.145071324,0.002570316
193,0.860608009,1.636252729,1.338044102,1.239383636,0.001569514
194,0.834072456,1.616073275,1.392880584,1.429238588,-0.001749167
195,0.813995382,1.59689497,1.441104364,1.551183806,-1.2341E-05
196,0.785816826,1.630527126,1.489415825,1.64133769,0.000178357
197,0.757031711,1.588383156,1.53083056,1.675481946,-0.000468827
198,0.732205607,1.503951389,1.575727741,1.647137529,0.001471728
199,0.708047159,1.407054904,1.610360241,1.60074463,-0.000789146
200,0.679934797,1.28950776,1.642796057,1.541021818,-0.000450345
201,0.657088808,1.175883321,1.660535916,1.402654913,0.000986678
202,0.628075988,1.057520307,1.691116773,1.314262058,0.001200534
203,0.602108317,0.93924565,1.647394342,1.118643275,-0.002298393
204,0.588724191,0.823358054,1.637224859,0.982267664,-0.001148729
205,0.569467149,0.71064797,1.617303907,0.872762347,-0.000449665
206,0.561825477,0.624680828,1.591469595,0.692397714,-0.001318199
207,0.564616072,0.539064735,1.5612809,0.600285812,0.000736855
208,0.5752162,0.483361528,1.525746332,0.51414594,-1.5476E-05
209,0.615242101,0.439560272,1.488060682,0.468424047,-0.002117624
210,0.595064872,0.425770157,1.450574861,0.418189336,1.659912231
211,0.574351697,0.457014338,1.412562415,0.404467551,1.662981147
212,0.574979508,0.441551738,1.378962121,0.376541809,1.664872602
213,0.572268841,0.460682002,1.343188567,0.358986553,1.663014136
214,0.564924193,0.484445905,1.30192263,0.332892993,1.651555358
215,0.585018343,0.513357722,1.267696662,0.302294494,1.63466102
216,0.584899095,0.540468607,1.23060434,0.268356079,1.612171119
217,0.610964505,0.573918509,1.198497807,0.239620968,1.578556433
218,0.579611212,0.601719614,1.160044829,0.222141242,1.535173658
219,0.562436726,0.623160227,1.12169127,0.195547242,1.491861199
220,0.568595009,0.639341635,1.076034503,0.19627544,1.442904252
221,0.564946037,0.659764051,1.028173553,0.193005291,1.395439326
